Nº Contrato|Contratado|Objeto do Contrato|Contratante|Valor do Contrato|
00002090|PAR ENGENHARIA FINANCEIRA LTDA|PRESTAÇÃO DE SERVIÇOS DE CONSULTORIA /ASSESSORIA EM DIAGNÓSTICO DE CARTEIRAS DE INVESTIMENTOS, ANÁLISE DE GESTÃO DE ATIVOS E PASSIVOS ATUARIAIS - ALM (ASSET LIABILITY MANAGEMENT), ANÁLISE SÍNCRONA ENTRE RENTABILIDADE GLOBAL DA CARTEIRA DE INVESTIMENTOS E OBRIGAÇÕES ATUARIAIS FUTURAS, ANÁLISE DE RENTABILIDADE MENSAL DAS APLICAÇÕES FINANCEIRAS E ANÁLISE DE NOVOS PRODUTOS FINANCEIROS QUE ESTEJAM DE ACORDO COM A RESOLUÇÃO 3.922, DE 25 DE NOVEMBRO DE 2010, DO CONSELHO MONETÁRIO NACIONAL E DA POLÍTICA DE INVESTIMENTOS PARA O INSTITUTO DE PREVIDÊNCIA DO MUNICÍPIO - IPM.|INSTITUTO DE PREVIDENCIA DO MUNICIPIO - PREVFOR|84.000,00|
00003350|PAULO JANDI DO NASCIMENTO ROCHA|O PRESENTE CONTRATO TEM POR OBJETO A CONCESSÃO DE CRÉDITO AOS MUTUÁRIOS NA IMPORTÂNCIA DE R$ 10.829,08(DEZ MIL OITOCENTOS E VINTE E NOVE REAIS E OITO CENTAVOS) QUE SERÁ CREDITADA MEDIANTE TRANSFERÊNCIA BANCÁRIA EM CONTA CORRENTE CONJUNTA DE TITULARIDADE DOS MUTUÁRIOS, ABERTA JUNTO AO BANCO DO BRASIL S/A, EM 02 (DUAS) PARCELAS, CONFORME ESTABELECIDO NA CLÁUSULA QUARTA DO PRESENTE INSTRUMENTO.|FUNDO MUNICIPAL DO JOVEM EMPREENDEDOR|10.829,08|
00000858|PEC POLAR EMPREENDIMENTOS E CONSULTORIA LTDA|CONTRATAÇÃO DE PESSOA JURÍDICA NA EXECUÇÃO DO TRABALHO SOCIAL DE ABRANGÊNCIA NAS ÁREAS DE MOBILIZAÇÃO E ORGANIZAÇÃO COMUNITÁRIA, EDUCAÇÃO SANITÁRIA E AMBIENTAL, GERAÇÃO DE TRABALHO E RENDA, PARA EXECUÇÃO DE TRABALHO SOCIAL NAS ÁREAS DE INTERVENÇÃO DO PROJETO VILA DO MAR. CONFORME CONCORRÊNCIA Nº04/2014, PROCESSO ADM Nº P214949/2014.|FUNDO MUNICIPAL DE HABITACAO DE INTERESSE SOCIAL|3.000.000,00|
00000418|PEDRO DE SALES NUNES|CONTRATAÇÃO DE PESSOA FÍSICA PARA LOCAÇÃO DE IMÓVEL NÃO RESIDENCIAL DESTINADO AO FUNCIONAMENTO DA ESCOLA MUNICIPAL SÃO JOÃO BATISTA - SER II|FUNDO MUNICIPAL DE EDUCACAO|102.000,00|
00004064|PETISCO DISTRIBUIDORA DE ALIMENTOS EIRELI|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA ATENDER A DEMANDA DOS HOSPITAIS MUNICIPAIS DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO N° 204/2016 - SMS, PROCESSO N° P006322/2016 - PMF  E NA ATA DE REGISTRO DE PREÇOS N° 103/2015, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO QUE TEM COMO FUNDAMENTO O EDITAL DO PREGÃO ELETRÔNICO N° 52/2015 - SECRETARIA MUNICIPAL DE EDUCAÇÃO - SME CONFORME PROCESSO DE CARONA N° P006322/2016 E SEUS ANEXOS.|HOSPITAL LUCIA DE FATIMA/CROA|54.360,00|
00003863|PETISCO DISTRIBUIDORA DE ALIMENTOS EIRELI|AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DE ACORDO COM O CONTRATO Nº 204/2016 DO PREGÃO ELETRÔNICO 052/2015.|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|32.616,00|
00003883|PETISCO DISTRIBUIDORA DE ALIMENTOS EIRELI|GEN.ALIMENTICIOS.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|27.180,00|
00003774|PETISCO DISTRIBUIDORA DE ALIMENTOS EIRELI|AQUISIÇÃO DE GÊNERO ALIMENTÍCIOS CONFORME ATA 103/2015, PE 52/2015 ,  CONTRATO 204/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|86.976,00|
00003782|PETISCO DISTRIBUIDORA DE ALIMENTOS EIRELI|CONTRATO PARA AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS CONFORME ESPECIFICAÇÕES E QUANTITATIVOS DA ATA DE REGISTRO DE PREÇOS Nº 103/2015 DO PREGÃO ELETRÔNICO Nº 52/2015 CONTRATO Nº 204/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|65.232,00|
00003746|PETISCO DISTRIBUIDORA DE ALIMENTOS EIRELI|AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS REF. AO PROCESSO DE CARONA DO PREGÃO ELETRÔNICO 052/2015.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|43.488,00|
00004153|PETROBRAS DISTRIBUIDORA S/A|AQUISIÇÕES FUTURAS E EVENTUAIS DE ÓLEOS LUBRIFICANTES, GRAXAS E COMBUSTÍVEL (OLEO DIESEL, ETANOL E GASOLINA) PARA ABASTECER A FROTA DE VEÍCULOS OFICIAIS DA PMF.|INSTITUTO DE PESOS E MEDIDAS|279.350,00|
00001520|PETROBRAS DISTRIBUIDORA S/A|AQUISIÇÕES DE ÓLEOS DIESEL, PARA ABASTECER VEÍCULOS OFICIAIS DA SME, COM DISPOSITIVO PARA O CONTROLE DE ABASTECIMENTO, FORNECIMENTO E INSTALAÇÃO NECESSÁRIOS AO PERFEITO FUNCIONAMENTO SEM ÔNUS  PARA SME.|FUNDO MUNICIPAL DE EDUCACAO|1.135.490,00|
00000154|PETROBRAS DISTRIBUIDORA S/A|STRATURA ASFALTOS S.A.|CONTRAÇÃO DE EMPRESA PARA O FORNECIMENTO DE CIMENTO ASFÁLTICO DE PETRÓLEO-(CAP) 50/70 PARA A CÉLULA DE GESTÃO DA MALHA VIÁRIA DE FORTALEZA, DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA - SEINF.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|51.733.080,00|
00003522|PHD CONSTRUCOES E SERVICOS EIRELI|CONTRATAÇÃO DE P. JURIDICA P/ EXECUÇÃO DE SERVIÇOS DE ENGENHARIA REFERENTES A 2239 MELHORIAS HABITACIONAIS NA AREA DE INTERVENÇÃO DO PROJETO VILA DO MAR, COMPREENDENDO: UNIDADE SANITÁRIA INTERLIGADA AO SISTEMA COLETOR DE ESGOTO, RECUPERAÇÃO DE COBERTA, RECUPERAÇÃO DE FACHADAS E INTERIOR, RECUPERAÇÃO DE PISO CIMENTADO.|FUNDO MUNICIPAL DE HABITACAO DE INTERESSE SOCIAL|12.857.048,76|
00001078|PIO ENGENHARIA E ARQUITETURA LTDA-EPP|SERVIÇOS DE URBANIZAÇÃO DA ORLA DO CANAL DOM LUSTOSA, COMPREENDIDO ENTRE AS RUAS CAETANO SILVA E TARCÍSIO PEIXOTO, LOCALIZADO EM ÁREA DE ABRANGÊNCIA DA DA SECRETARIA REGIONAL III.|SECRETARIA REGIONAL III|1.523.517,95|
00002524|PLANTE JARDINS CULTIVO DE PLANTAS E PAISAGISMO LTDA|CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE PLANTIO E MANUTENÇÃO DE ÁRVORES, EM VIAS, LOGRADOUROS E PRÉDIOS PÚBLICOS DO MUNICÍPIO DE FORTALEZA.|SECRETARIA MUNICIPAL DA INFRAESTRUTURA|2.950.000,00|
00004826|POINT SUTURE DO BRA.IND.DE FIOS CIR.LTDA|CONTRATO PARA AQUISIÇÃO DE FIOS CIRÚRGICOS INABSORVÍVEIS, CONFORME AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NESTE CONTRATO E ATA DE REGISTRO DE PREÇOS PREGÃO ELETRÔNICO Nº 136/2015 CONTRATO Nº 292/2016 -SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|668,00|
00004640|POINT SUTURE DO BRA.IND.DE FIOS CIR.LTDA|AQUISIÇÕES DE MATERIAIS MÉDICOS HOSPITALARES  -  FIOS CIRÚRGICSOS|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|2.079,00|
00004047|PONTOCOM INFORMÁTICA LTDA|PRESTAÇÃO DE SERVIOS DE ELICITAÇÃO, DOCUMENTAÇÃO, DESENVOLVIMENTO, MANUTENÇÃO EM SISTEMAS DE INFORMAÇÃOEM PLATAFORMA JAVA|AGENCIA DE FISCALIZACAO DE FORTALEZA|489.720,00|
00004537|PORTFOLIO SERVICOS EDUCACIONAIS, TECNOLOGICOS E RH EIRELI|PROCESSO DE INEXIGIBILIDADE DE LICITAÇÃO DE CAPACITAÇÃO DE 100 (CEM) COLABORADORES DO QUADRO FUNCIONAL DA SEPOG E DO IPLANFOR, PARA CONSTRUÇÃO DO PROJETO DE REMUNERAÇÃO VARIÁVEL E GESTÃO DE METAS, COM CARGA HORÁRIA DE 574 HORAS/AULA, DISTRIBUÍDA EM MÓDULOS COMPOSTOS POR CURSOS, OFICINAS E TREINAMENTO QUE SERÃO REALIZADOS EM FORTALEZA/CE, PELO PERÍODO DE 12(DOZE) MESES, DE ACORDO COM O TERMO DE INEXIGIBILIDADE Nº 29/2016.|SECRETARIA MUNICIPAL DO PLANEJAMENTO, ORCAMENTO  E GESTAO|125.361,60|
00004145|POSITIVO TECNOLOGIA SA|AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA|AGENCIA DE FISCALIZACAO DE FORTALEZA|158.750,00|
00004144|POSITIVO TECNOLOGIA SA|AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA|AGENCIA DE FISCALIZACAO DE FORTALEZA|25.415,00|
00003199|PROEL IND. COM. REP. E SERVICOS LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME ATA 53/2015, PP 33/2015 ,  CONTRATO 53/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|174,00|
00003201|PROEL IND. COM. REP. E SERVICOS LTDA|CONTRATO PARA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR(CANETAS PARA ECG E OUTROS), CONFORME REGISTRO DE PREÇOS Nº 53/2015, PREGÃO PRESENCIAL Nº 33/2015 E CONTRATO Nº 53/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|1.450,00|
00004498|PROEL IND. COM. REP. E SERVICOS LTDA|REFERENTE AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR ATRAVES DA ARP 53/2015 PP 33/2015 CO NT 53/2015|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|696,00|
00003144|PROHOSPITAL COMÉRCIO HOLANDA LTDA|MEDICAMENTOS.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|3.021,00|
00004457|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERE-SE A AQUISIÇÃO DE MATERIAL DE CONSUMO(MEDICAMENTOS,ORAIS E TÓPICOS) PREGÃO ELETRÔNICO Nº.007/16.CONTRATO Nº.236/16.VENCIMENTO 09/10/17. NECESSÁRIO PARA ESTA UNIDADE HOSPITALAR.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|23.996,20|
00003448|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTO CONFORME ATA 54/2015, PE 207/2015 ,  CONTRATO 111/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|88,00|
00003959|PROHOSPITAL COMÉRCIO HOLANDA LTDA|MEDICAMENTO|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|67.467,00|
00003993|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE MEDICAMENTOS CONFORME ESPECIFICAÇÕES DA ATA DE RP Nº 050/2016 PREGÃO ELETRÔNICO Nº 040/2016 CONTRATO Nº 163/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|33.538,00|
00000243|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR - AGULHAS E SERINGAS PARA ANESTESIA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO E NA ATA DE REGISTRO DE PREÇOS Nº 23/2016. PREGÃO ELETRÔNICO Nº 154/2016 E CONTRATO Nº 41/2017 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|13.574,88|
00003902|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME ATA 07/2016, PE 298/2015 ,  CONTRATO 216/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|617,50|
00004066|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR (DESCARTÁVEL E OUTROS), PARA ATENDER A DEMANDA DOS HOSPITAIS, SAMU FORTALEZA E COVIS, LIGADOS A REDE MUNICIPAL DE SAÚDE, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REG DE PREÇOS Nº. 157/2015, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO. (PREGÃO ELETRÔNICO Nº.123/2014).|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|2.546,40|
00002925|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE MEDICAMENTOS IV CONFORME REGISTRO DE PREÇOS Nº 148/2015 PREGÃO ELETRÔNICO Nº 217/2015 CONTRATO Nº 072/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|2.671,00|
00003855|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇAO DE MATERIAL MEDICO HOSPITALAR(TUBOS ENDOTRAQUEAIS)DE ACORDO COM ESPECIFICAÇOES E QUANTITATIVOS PREVISTOS DESTE CONTRATO DE N-216/2016 PREGASO ELETRONICO N-298/2015|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|981,20|
00003988|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERENTE AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR ATRAVES DA ARP 07/2016 PE 298/2015 CONTRATO 216/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|1.945,20|
00003200|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME ATA 53/2015, PP 33/2015 ,  CONTRATO 54/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|27.012,00|
00002949|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTO CONFORME ATA 148/2015, PE 217/2015 ,  CONTRATO 72/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|100,00|
00004549|PROHOSPITAL COMÉRCIO HOLANDA LTDA|PREGÃO ELETRÔNICO N.007/2016, PROCESSO ADMINISTRATIVO N.P741290/2015. OBJETO: CONSTITUI O OBJETO DESTE CONTRATO A AQUISIÇÃO DE MEDICAMENTOS ORAIS E TÓPICOS, DESTINADOS AOS HOSPITAIS DA REDE MUNICIPAL DE SAÚDE E SECRETARIA MUNICIPAL DE SAÚDE (SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA - SAMU), DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REG DE PREÇOS N.016/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTA CONTRATO.|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|16.022,00|
00004232|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERENTE AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR ATRAVES DA ARP 07/2016 PE 298/2015 CONTRATO 216/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|1.945,20|
00004584|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO MATERIAL MÉDICO HOSPITALAR SONDAS NASOGÁSTRICAS E SONDAS PARA NUTRIÇÃO ENTERAL - HOSPITAL DISTRITAL MARIA JOSÉ BARROSO DE OLIVEIRA.|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|9.631,20|
00004540|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONSTITUI OBJETO DESTE CONTRATO A AQUISIÇÃO DE MEDICAMENTOS IV, DESTINADOS AOS HOSPITAIS MUNICIPAIS DE FORTALEZA LIGADOS A SECRETARIA MUNICIPAL DE SAÚDE,  DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO CONTRATO N° 072/2016 - SMS, PROCESSO N° P026415/2016 - PMF,  E NA ATA DE REGISTRO DE PREÇOS N° 148/2015, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO QUE TEM COMO FUNDAMENTO O EDITAL DO PREGÃO ELETRÔNICO N° 217/2015 E SEUS ANEXOS CONFORME PROCESSO ADMINISTRATIVO N° P358725/2014.|HOSPITAL LUCIA DE FATIMA/CROA|968,40|
00004557|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇAO DE MEDICAMENTOS ORAIS E TOPICOS DE ACORDO COM ESPECIFICAÇOES E QUANTITATIVOS PREGAO ELETRONICO N-007/2016 CONTRATO 236/2016|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|7.849,70|
00004029|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME ATA DE REGISTRO DE PREÇOS Nº 005/2016 PREGÃO ELETRÔNICO Nº 233/2015 CONTRATO Nº 227/2016 SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|4.835,00|
00003864|PROHOSPITAL COMÉRCIO HOLANDA LTDA|MAT.MEDICO|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|273,00|
00004816|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTOS ORAIS E TÓPICOS. PREGAO ELETRÔNICO Nº 007/2016 E CONTRATO Nº 236/2016.|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|12.502,90|
00004121|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERENTE AQUISIÇÃO DE MEDICAMENTOS ATRAVES DA ARP  50/2016  PE. 40/2015 CONT. 163/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|39.456,00|
00003948|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTO CONFORME ATA 50/2016, PE 40/2016 ,  CONTRATO 163/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|57.266,00|
00004620|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÕES DE MEDICAMENTOS  -  ORAIS E TÓPICOS|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|9.964,20|
00000039|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERE-SE A AQUISIÇÃO DE MATERIAL DE CONSUMO(MATERIAL MEDICO HOSPITALAR- SONDAS NASOGÁSTRICA E SONDAS PARA NUTRIÇÃO ENTERAL)PREGÃO ELETRÔNICO Nº. 227/15.CONTRATO Nº.283/16.VALIDADE 10/11/17.NECESSÁRIO PARA ESTA UNIDADE HOSITALAR.|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|4.244,40|
00004714|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR(SONDAS NASOGÁSTRICA E SONDAS PARA NUTRIÇÃO ENTERAL), CONFORME RP Nº 0002/2016 PREGÃO ELETRÔNICO Nº 227/2015 CONTRATO Nº 283/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|3.071,00|
00003439|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE MEDICAMENTOS INJETÁVEIS 01, CONFORME REGISTRO DE PREÇOS Nº 050/2015 PREGÃO ELETRÔNICO Nº 212/2015 CONTRATO Nº 119/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|1.634,00|
00003192|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÕES DE MATERIAIS MÉDICOS HOSPITALARES - CANETAS DE ECG E OUTROS|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|35.143,08|
00003423|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE MEDICAMENTOS INJETÁVEIS 03, CONFORME REGISTRO DE PREÇOS Nº 54/2015 - PREGÃO ELETRÔNICO Nº 207/2015 CONTRATO Nº 111/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|1.584,00|
00003432|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTOS CONFORME ATA 50/2015, PE 212/2015 ,  CONTRATO 119/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|1.062,10|
00004078|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR (TUBOS ENDOTRAQUEAIS), DESTINADOS AOS HOSPITAIS DA REDE MUNICIPAL DE SAÚDE E SMS, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REG DE PREÇOS Nº. 007/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO. (PREGÃO ELETRÔNICO Nº.298/2015).|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|5.442,00|
00000010|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERENTE AQUISIÇÃO DE  DE MATERIAL MEDICO HOSPITALAR (SONDAS NASOGASTRICA E NASOENTERAL) ATRAVES DA ARP 2/2015 PE 227/2016 CONT 283/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|3.211,20|
00004062|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTOS PARA DISPENSAÇÃO NOS HOSPITAIS MUNICIPAIS E SAMU, LIGADOS A SECRETARIA MUNICIPAL DA SAÚDE DE FORTALEZA, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REG DE PREÇOS Nº050/2016, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO. (PREGÃO ELETRÔNICO Nº.040/2016).|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|74.840,00|
00000073|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE CAIXAS COM INSTRUMENTAIS CIRÚRGICOS, PARA ATENDER AS DEMANDAS DO HOSPITAL DISTRITAL MARIA JOSÉ BARROSO DE OLIVEIRA|HOSPITAL DISTRITAL  MARIA JOSE BARROSO DE OLIVEIRA|339.265,14|
00000075|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE CAIXAS COM INSTRUMENTAIS CIRÚRGICOS, DE ACORDO COM ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NA ATA DE RP Nº 129/2016 PREGÃO ELETRÔNICO Nº 041/2016 E CONTRATO Nº 009/2017 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|327.088,66|
00004187|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERENTE AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR ATRAVES DA ARP 157/2015 PE 123/2014 CONTRATO 88/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|9.391,32|
00000093|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÕES DE INSTRUMENTAIS CIRÚRGICOS|HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA|339.265,14|
00004108|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERE-SE A AQUISIÇÃO DE MATERIAL DE CONSUMO(MATERIAL MEDICO HOSPITALAR)|HOSPITAL DISTRITAL GONZAGA MOTA/JOSE WALTER|661,50|
00003604|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERENTE A AQUISIÇÃO DE MEDICAMENTOS ATRAVES DA ARP  041/2016 PREGÃO ELETRONICO  033/2016 CONTRATO 148/2016|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|1.680,00|
00003779|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTOS INJETÁVEIS 03, DESTINADOS AOS HOSPITAIS DA REDE MUNICIPAL DA SAÚDE E SMS (SERVIÇO DE ATENDIMENTO MÓVEL DE URGÊNCIA  -SAMU), DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS DESTE CONTRATO E NA ATA DE REGISTRO DE PREÇOS N.054/2015, NA PROPOSTA DA CONTRATADA E CONFORME ANEXO ÚNICO AO PRESENTE CONTRATO.|HOSPITAL DISTRITAL GONZAGA MOTA/BARRA DO CEARA|352,00|
00003544|PROHOSPITAL COMÉRCIO HOLANDA LTDA|AQUISIÇÃO DE MEDICAMENTO CONFORME ATA 41/2016, PE 33/2016 ,  CONTRATO 148/2016|HOSPITAL DISTRITAL GONZAGA MOTA/MESSEJANA|1.750,00|
00003729|PROHOSPITAL COMÉRCIO HOLANDA LTDA|REFERENTE A AQUISIÇÃO DE MEDICAMENTO IV DESTINADOS AOS HOSPITAIS LIGADOS A SMS CONTIDOS NA ARP Nº 148/2015 PE Nº 217/2015 E  CONTRATO 72/2016.|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|4.485,60|
00003202|PROHOSPITAL COMÉRCIO HOLANDA LTDA|CONTRATO PARA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR(CANETAS PARA ECG E OUTROS)CONFORME REGISTRO DE PREÇOS Nº 53/2015 PREGÃO PRESENCIAL Nº 33/2015 E CONTRATO Nº 54/2016 - SMS.|HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA|12.042,00|
00003596|PROHOSPITAL COMÉRCIO HOLANDA LTDA|OBJETO CONSTITUI AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR -ATRAVES DA ARP 053/2015 E PREGÃO PRESENCIAL 033/2015 CONTRATO N.054/2016.|HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO|13.915,20|
